area_code,area_name,indicator,period,measure,unit,value
E06000047,County Durham,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,256
E06000005,Darlington,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,22
E06000001,Hartlepool,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,"NA"
E06000002,Middlesbrough,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,"NA"
E06000057,Northumberland,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,343
E06000003,Redcar and Cleveland,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,20
E06000004,Stockton-on-Tees,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,31
E08000037,Gateshead,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,18
E08000021,Newcastle upon Tyne,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,16
E08000022,North Tyneside,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,"NA"
E08000023,South Tyneside,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,"NA"
E08000024,Sunderland,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,18
E06000008,Blackburn with Darwen,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,16
E06000009,Blackpool,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,10
E06000049,Cheshire East,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,90
E06000050,Cheshire West and Chester,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,76
E06000006,Halton,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,14
E06000007,Warrington,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,13
E07000026,Allerdale,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,211
E07000027,Barrow-in-Furness,Non-domestic Renewable Heat Incentive sheme,2011-11 to 2019-09,Count,Accredited applications,10
