area_code,area_name,name,operator,type,turbines,capacity,address,county,lon,lat
N09000005,Derry City and Strabane,Clondermot Turbines,Energia Renewables,Wind Onshore,2,2.30,"Trench Road, Derry",Co. Derry / Londonderry,-7.312910542043476,54.967891872166106
S12000035,Argyll and Bute,Freasdail Wind Farm,The Renewables Infrastructure Group (TRIG),Wind Onshore,11,2.00,Land East Of Loch Freasdail And North Of Loch Cruinn Whitehouse By Tarbert Argyll And Bute,Strathclyde,-5.470638737053068,55.77701056003526
W06000022,Newport,Nash Waste Water Treatment Works Turbine,Welsh Water,Wind Onshore,1,2.50,"West Nash Road, Nash NP18 2YH",Gwent,-2.9590729639668596,51.551107927865
E06000056,Central Bedfordshire,Marston Vale Country Park Wind Turbine,Blue Energy,Wind Onshore,1,1.50,"The Marston Vale Millennium Country Park, Station Road, Marston Moretaine, Bedford, MK43 0PR",Bedfordshire,-0.535397341035939,52.06465809105313
E06000010,"Kingston upon Hull, City of",Energy Works Hull - Wind Turbine,Spencer Group,Wind Onshore,1,3.00,"Cleveland Street (former Adm Cocoa Plant), Dalton Street, Kingston Upon Hull, Humberside",Humberside,-0.3304002256894532,53.75853532954837
W06000012,Neath Port Talbot,Mynydd Y Gwrhyd Windfarm (resubmission),Awel Aman Tawe Community Energy,Wind Onshore,2,2.35,Mynydd Y Gwrhyd,West Glamorgan,-3.847238646096738,51.77840130313797
E07000173,Gedling,Severn Trent Water - Stoke Bardolph Wind Turbine,Severn Trent Water,Wind Onshore,1,2.50,"Stoke Lane, Stoke, Bardolph, Nottinghamshire",Nottinghamshire,-1.0439660634787509,52.97577902853249
W06000013,Bridgend,Newton Down,Renewable Energy Partnerships Ltd,Wind Onshore,2,2.00,Bridgend,Mid Glamorgan,-3.669010004553148,51.50223102226575
E06000057,Northumberland,North Steads Wind Farm,Ventient (formerly Infinis),Wind Onshore,9,3.00,Situated between Widdrington and Red Row to the west of the A1068,Northumberland,-1.6247740014535361,55.26503503172909
S12000034,Aberdeenshire,Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission),LocoGen/ Green Cat Renewables,Wind Onshore,3,3.20,"Hill of Tillymorgan, Culsalmond, Insch",Grampian,-2.610361448006838,57.34413254914634
S12000029,South Lanarkshire,LADEHEAD FARM - WIND TURBINES,PI Renewables 2 Ltd,Wind Onshore,3,1.30,Ladehead Farm Lesmahagow,Strathclyde,-3.9221163366103147,55.64946356999876
E06000052,Cornwall,Garlenick Estate 2 - Wind Turbines,Airvolution Energy,Wind Onshore,2,2.00,Garlenick Estate Grampound Cornwall,Cornwall,-4.885054988179829,50.30693592222137
E06000052,Cornwall,Goonabarn Farm Wind Turbines,George Richards Farms Partnership,Wind Onshore,2,0.50,Goonabarn Farm Summercourt Newquay Cornwall TR8 5BL,Cornwall,-4.9605960574832855,50.34967073147785
E07000145,Great Yarmouth,Bloodhills - repowering,The Farm Energy Partnership LLP,Wind Onshore,2,0.50,"Bloodhills Farm, Bloodhills East Somerton Great Yarmouth NR29 4DU",Norfolk,1.6644214075870212,52.70697801740654
S12000011,East Renfrewshire,Ardoch and Over Enoch Wind Farm (Ardoch),2020 Renewables/ NTR,Wind Onshore,3,2.50,"Ardoch Farm, Over Enoch Road, Eaglesham, East Renfrewshire",Strathclyde,-4.253708673142252,55.719980515431544
E06000023,"Bristol, City of",Avonmouth Port II,Bristol City Council - Energy Management Unit,Wind Onshore,2,2.50,"Former Shell Tanker Site
Severn Road
Avonmouth
Bristol",Avon,-2.673864310073495,51.53833794990857
E08000017,Doncaster,Tween Bridge Windfarm,E.ON Renewables,Wind Onshore,22,2.00,"Tween Bridge, Thorne, Doncaster, South Yorks",South Yorkshire,-0.9355902145126367,53.622301995229
W06000016,Rhondda Cynon Taf,Mynydd Portref,Gresham House,Wind Onshore,11,0.85,"N of Brynna, E of existing Taff Ely Wind Farm",Mid Glamorgan,-3.45973570489748,51.55639480980066
W06000013,Bridgend,Fforch Nest Wind Farm pt2,Pennant Walters,Wind Onshore,7,2.50,"Mynydd Maesteg and Mynydd Pwllyrhebog, Ogmore and Rhondda Valleys",Mid Glamorgan,-3.4959571971883348,51.60649170402154
N09000006,Fermanagh and Omagh,Gortfinbar,Energia Renewables,Wind Onshore,6,2.50,"Sixmilecross/Carrickmore, Omagh",Co. Tyrone,-7.019701475890837,54.54399968684875
N09000001,Antrim and Newtownabbey,Carn Hill,Gaelectric Developments/ CGN Europe Energy,Wind Onshore,6,2.30,"Lands north of Slievetrue Road, Carn Hill/Rea Hill, Newtownabbey, Co Antrim",Co. Antrim,-5.911801500018555,54.73129683156678
E07000012,South Cambridgeshire,Wadlow Wind Farm,DIF,Wind Onshore,13,2.00,"Nr West Wratting, South Cambridgeshire",Cambridgeshire,0.316047181934177,52.16601052523295
E07000074,Maldon,Bradwell Wind Farm (Repower),Npower Renewables,Wind Onshore,10,2.00,"Bradwell on Sea, Maldon",Essex,0.8210429848391608,51.70983527956615
E08000016,Barnsley,Hazlehead,Banks Renewables,Wind Onshore,3,2.00,"to the rear of Hepworth's factory, Crow Edge",South Yorkshire,-1.7311982470598593,53.53158975213658
E06000057,Northumberland,Kiln Pit Hill Windfarm,Npower Renewables,Wind Onshore,6,2.00,"land to the east of A68, approx 1km SE of Kiln Pit Hill",Northumberland,-1.914390643983015,54.8859654963794
E06000052,Cornwall,Otterham Down Wind Farm (Resubmission),Otter Power,Wind Onshore,4,0.80,"Otterham, Camelford",Cornwall,-4.610326803654305,50.684891772007276
E06000011,East Riding of Yorkshire,Sixpenny Wood Windfarm,Greencoat UK Wind,Wind Onshore,10,3.30,"Between Eastrington, Gilberdyke, Kilpin and Laxton",Humberside,-0.8113817435177354,53.737986401402594
E07000076,Tendring,Earl's Hall,Greencoat UK Wind,Wind Onshore,5,2.05,"Earls Hall Farm, Clacton on Sea, Essex",Essex,1.110898001721084,51.80918359862237
E07000118,Chorley,Mawdesley Moss,Private Developer,Wind Onshore,3,0.75,"Cliff Farm
Mawdesley Moss
Chorley
Lancashire",Lancashire,-2.7802982921261554,53.633475771005784
E07000152,East Northamptonshire,Chelveston Renewable Energy Park Wind Farm (East Northamptonshire),Chelveston Renewable Energy,Wind Onshore,5,2.50,"Chelveston Airfield
East Northamptonshore",Northamptonshire,-0.5365964762271977,52.30118486436004
E06000057,Northumberland,Bewick Drift,Harworth Power,Wind Onshore,1,2.30,Land at former Lynemouth coal handling store north of existing Lynemouth Power Station,Northumberland,-1.5571580997141712,55.21522450297891
E06000011,East Riding of Yorkshire,Hall Farm Routh,John Laing Environmental Assets Group/REG Power Management,Wind Onshore,12,2.05,"Land North Of, Hall Farm Acc Rd To Crowshore Plantation, Routh, East Riding Of Yorkshire, HU17 9SL",Humberside,-0.36087915034959267,53.87366510856809
S12000020,Moray,Rothes Wind Farm (Extension) (II),Fred Olsen Renewables,Wind Onshore,18,2.30,"Rothes Windfarm, at Cairn Uish near Elgin",Grampian,-3.3629575090523853,57.537263756308576
N09000004,Causeway Coast and Glens,Glenconway,Airtricity,Wind Onshore,8,2.30,"Land at Glenconway Hill off Baranailt Road, (Adjacent to Loughermore Forest and north of Altahullion windfarm), Limavady.",Co. Derry / Londonderry,-7.029608756789139,54.97599264354591
N09000004,Causeway Coast and Glens,Glenconway 2 (formerly Altahullion Phase III),Scottish and Southern Energy (SSE),Wind Onshore,12,2.30,"Altahullion Phase III Wind Farm in the townlands of Drum, Glenconway and Ballymoney, near Dungiven",Co. Derry / Londonderry,-7.034783391360284,54.970478130550624
W06000013,Bridgend,Fforch Nest Wind Farm pt1,Pennant Walters,Wind Onshore,4,2.50,Land North of Glynogwr,Mid Glamorgan,-3.494661336508991,51.61100421208915
E08000017,Doncaster,Hampole Wind Farm,Good Energy (previously nPower Renewables),Wind Onshore,4,2.00,"Land Near Hampole Wood
Hampole
Doncaster",South Yorkshire,-1.2549569240897616,53.57658200205572
E08000016,Barnsley,Blackstone Edge,Ventient (formerly Infinis),Wind Onshore,3,2.50,"Blackstone Edge, Penistone",South Yorkshire,-1.7062246284466756,53.54331483325716
N09000004,Causeway Coast and Glens,Glenbuck,Energia Renewables,Wind Onshore,4,2.30,"Glenbuck, Dunloy",Co. Antrim,-6.412420748431027,55.01009186651223
N09000004,Causeway Coast and Glens,Glenbuck II,Energia,Wind Onshore,5,3.00,Glenbuck,Co. Antrim,-6.412420748431027,55.01009186651223
E08000017,Doncaster,Marr Windfarm,Banks Renewables,Wind Onshore,4,2.00,"Marr, South Yorkshire",South Yorkshire,-1.239713716948579,53.533035463257086
E08000024,Sunderland,Nissan Motors Plant Extn,TNEI Services Ltd,Wind Onshore,3,0.60,"Nissan Motors Plant, Sunderland, Tyne and Wear",Tyne and Wear,-1.4807596635229987,54.913886260701155
S12000034,Aberdeenshire,Hill of Fiddes,"Infinis, previously Broadview Energy",Wind Onshore,3,2.30,"Hill of Fiddes
Udny Station
Cultercullen",Grampian,-2.1096246702906227,57.31089225416663
