area_code,area_name,name,operator,type,turbines,capacity,address,county,lon,lat
E07000074,Maldon,Turncole Wind Farm,RES/ Aviva,Wind Onshore,7,2.00,"Turncole Farm, The Marshes, Southminster, Essex",Essex,0.8677614891564489,51.65150308145573
E06000015,Derby,Derby Sewage Treatment Works,Severn Trent Water,Wind Onshore,2,3.40,"Megaloughton Lane, Spondon, Derby",Derbyshire,-1.4131266560966227,52.90814646408807
E06000013,North Lincolnshire,Grange Resubmission,Octopus Investements/Blue Energy,Wind Onshore,6,2.05,"Grange Farmhouse, Land adjacent to, Flixborough",Humberside,-0.7001213162751412,53.63791855238726
E06000011,East Riding of Yorkshire,Goole Fields ll Wind Farm,RWE Npower Renewables,Wind Onshore,17,2.05,"approximately 2km south of Old Goole, immediately to the west of the consented Goole Fields Wind Farm.",Humberside,-0.8868023014930045,53.67677912368532
S12000020,Moray,Edintore Wind Farm,Vento Ludens,Wind Onshore,6,3.00,"Edintore, Keith, Moray",Grampian,-2.962534246587444,57.50567601186628
S12000027,Shetland Islands,Gremista Wind Farm,Shetland Aerogenerators,Wind Onshore,1,3.00,"Luggies Knowe, Gremista, Lerwick",Shetland Islands,-1.1671176567646981,60.19242628442734
S12000047,Fife,Clentrie Wind Farm (Gevens),Rev Ltd,Wind Onshore,3,2.30,"Clentrie Farm, Fife",Fife,-3.252636207683119,56.11771426930801
N09000006,Fermanagh and Omagh,Thornog Windfarm Extension,Energia Renewables,Wind Onshore,4,2.30,"Thornog, 
Meenadoan townland, 
Drumquin. 
Co Tyrone",Co. Tyrone,-7.559610886301809,54.60639593817442
E07000151,Daventry,Kelmarsh Wind Farm (Resubmission),Blue Energy,Wind Onshore,5,2.50,"Land To The South Of The A14 And North Of Haselbech, Kelmarsh, Northamptonshire",Northamptonshire,-0.9597649958862646,52.402838849696984
S12000050,North Lanarkshire,Torrance Farm Wind Park Extension,Capital Dynamics,Wind Onshore,2,3.00,NETHERTON FARM Westcraigs Road Harthill Shotts North Lanarkshire,Strathclyde,-3.745239359910431,55.876564609769424
S12000047,Fife,Goathill Quarry Turbine,Collier Quarrying Group,Wind Onshore,1,2.00,Goathill Quarry Easter Bucklyvie Cowdenbeath Fife,Fife,-3.3202566501673707,56.08636055516409
S12000047,Fife,Skeddoway Farm Wind Turbine (Resubmission),Clenergy,Wind Onshore,1,2.50,Skeddoway Farm Strathore Road Strathore Thornton Fife,Fife,-3.15933917317175,56.16650730721908
S12000047,Fife,Middle Balbeggie Wind Turbines,Capital Dynamics,Wind Onshore,2,3.20,Land Surrounding Middle Balbeggie Balbeggie Avenue Balbeggie Thornton Fife,Fife,-3.1644913066184004,56.15369995814751
E07000244,East Suffolk,Upper Holton Wind Farm,Temporis Capital,Wind Onshore,5,2.30,"Wind Farm, Upper Holton, Holton, Suffolk",Suffolk,1.5311326700903385,52.366491154708996
E07000026,Allerdale,Tallentire Hill,The Renewables Infrastructure Group (TRIG),Wind Onshore,6,2.00,"Hill Farm, Cockermouth, Cumbria. CA13 0PY",Cumbria,-3.3595002253578152,54.7068806808763
N09000006,Fermanagh and Omagh,Pollnalaght (Cornavarrow),Energia,Wind Onshore,12,3.20,"Pollnalaght, Drumquin, Co Tyrone",Co. Tyrone,-7.441023272909873,54.56831112555177
N09000001,Antrim and Newtownabbey,Seegronan,Seegronan Windfarm,Wind Onshore,6,2.30,"Killeter, Strabane, Co Tyrone",Co. Tyrone,-6.300004703128849,54.633331687331356
S12000034,Aberdeenshire,Meikle Carewe (Re-Submission),The Renewables Infrastructure Group (TRIG),Wind Onshore,12,0.85,"Rickarton Farms, Stonehaven, Aberdeenshire",Grampian,-2.2783136864675044,57.0188181722653
S12000029,South Lanarkshire,Andershaw,Statkraft UK,Wind Onshore,14,2.50,Andershaw Forest South of Douglas,Strathclyde,-3.84626374114916,55.50932641467411
N09000009,Mid Ulster,Eshmore,Energia Renewables,Wind Onshore,3,2.30,"Crockanavark, Eshmore and Altaglushan Townlands , Galbally, Dungannon. Co Tyrone",Co. Tyrone,-6.942957545511703,54.55055077512454
N09000006,Fermanagh and Omagh,Castlecraig,RES / NTR,Wind Onshore,10,2.50,"Castlecraig (Slieve Glass) in Castlecraig, Sloughan, Killoan and Curraghmacall townlands. The proposed site is approximately 5 km south of Killen and 5 km west of Drumquin beside Lough Hill.",Co. Tyrone,-7.587211354176354,54.63089089042504
E07000134,North West Leicestershire,East Midlands Airport,Wind Direct,Wind Onshore,4,0.25,"Castle Donington, Leicestershire",Leicestershire,-1.3426523939262351,52.826197635057866
S12000034,Aberdeenshire,Kildrummy Windfarm,Greencoat UK Wind/Bay Wa .r.e/ SunGift,Wind Onshore,8,2.30,"Clashnarae Hill, Kildrummy, Alford",Grampian,-2.7029307288910487,57.225297184744804
E06000055,Bedford,Airfield Farm (Podington) (Resubmission),Airvolution Energy,Wind Onshore,3,2.00,"Airfield Farm, adjacent to Santa Pod raceway, Podington, Wellingborough",Bedfordshire,-0.6088792165923514,52.236271554483466
S12000017,Highland,Dunmaglass Wind Farm,Scottish and Southern Energy (SSE),Wind Onshore,33,3.00,"Dunmaglass, Highlands, SW of Inverness",Highland,-4.25580233803608,57.25148007557334
S12000006,Dumfries and Galloway,Harestanes,Scottish Power Renewables,Wind Onshore,68,2.00,Mofatt Village Dumfries and Galloway,Dumfries and Galloway,-3.574197586999958,55.239029219351636
S12000017,Highland,Corriemoillie (Resubmission),EDF Energy Renewables,Wind Onshore,17,2.85,"Garve, Highlands",Highland,-4.77301802998518,57.66872566223581
S12000017,Highland,Hill of Stroupster Windfarm,Greencoat UK Wind,Wind Onshore,12,2.50,"Stroupster, Caithness",Highland,-3.1323773905545482,58.57926460206602
S12000017,Highland,Burn of Whilk,RWE npower,Wind Onshore,9,2.50,"Burn of Whilk
Hill of Yarrows
Caithness",Highland,-3.2038537370321514,58.356758901534405
S12000017,Highland,Lochluichart,Eneco,Wind Onshore,17,3.00,"Loch Luichart, Garve",Highland,-4.81670114995001,57.65459417645446
N09000005,Derry City and Strabane,Tievenameenta,Scottish and Southern Energy (SSE),Wind Onshore,15,2.30,"Tievenameenta, Co Tyrone (townlands of Crigshane, Ballymongan, Shanaghy, Tievenameenta, Crighdenis)",Co. Tyrone,-7.591005914674118,54.704999714351906
S12000014,Falkirk,Burnhead,Wind Prospect Developments/ EDF,Wind Onshore,13,2.00,"S/Of Stoneridge, Falkirk, Stirlingshire, FK1",Central,-3.774834733729048,55.912078064773695
S12000034,Aberdeenshire,Easter Tolmauds,Frank A Smart & Son Ltd,Wind Onshore,2,0.80,"Easter Tolmauds, Torphins, Banchory, Grampian",Grampian,-2.6219052866028103,57.15703932113155
W06000016,Rhondda Cynon Taf,Maerdy,Greencoat UK Wind,Wind Onshore,8,3.00,"land NW of Maerdy and NE of Treherbert, Rhigos",Mid Glamorgan,-3.5179364736420244,51.69777452963366
N09000006,Fermanagh and Omagh,Altamuskin,Altamuskin Windfarm (Energia),Wind Onshore,3,2.35,"Altamooskan (Altamuskin) TD, Sixmilecross, Omagh, Co. Tyrone.",Co. Tyrone,-7.094612094708089,54.522197101874724
E06000052,Cornwall,Woodlands Barton Wind Project,Private Developer,Wind Onshore,2,2.30,Nr Roche St Austell Cornwall,Cornwall,-4.8141131302523865,50.425317435586756
E07000026,Allerdale,Westnewton,NA,Wind Onshore,3,2.05,"Warwick Hall Farm, Westnewton, Cumbria. CA7 3PF",Cumbria,-3.3463091653994836,54.77950204593379
N09000004,Causeway Coast and Glens,Windyhill Road (Dunbeg) Wind Farm,Gaelectric Developments/ CGN Europe Energy,Wind Onshore,14,3.00,"Picnic Area, Dunbeg Townland, Limavady, Co Londonderry. BT45",Co. Derry / Londonderry,-6.888612090026299,55.08042973379992
N09000004,Causeway Coast and Glens,Cloonty Wind Farm,Gaelectric Developments/ CGN Europe Energy,Wind Onshore,4,3.00,"122 Castlecat Road Derry Keighan, Cloonty Townland, Ballymoney, Co Antrim. BT53 8AP",Co. Antrim,-6.395821666201907,55.118492166395605
N09000006,Fermanagh and Omagh,Curraghamulkin (Dooish Wind Farm),DW Consultancy,Wind Onshore,10,3.00,"Coolavannagh TD, Curraghmulkin TD, Dooish TD, Drumquin",Co. Tyrone,-7.514138303213156,54.577826205291174
N09000006,Fermanagh and Omagh,Teiges,Energia,Wind Onshore,5,2.20,"Eshnanumera and Eshnasillog More townlands (adjacent to Lisnaskea Forest), Brookeborough TD, Co. Fermanagh",Co. Fermanagh,-7.3985290948997715,54.30310064599312
N09000005,Derry City and Strabane,Monnaboy Wind Farm,Gaelectric Developments/ CGN Europe Energy,Wind Onshore,4,2.50,"on land located east of 62 Monnaboy Road, Greysteel",Co. Derry / Londonderry,-7.134074959099949,54.97913918537272
N09000009,Mid Ulster,Crockandun,Brookfield Renewable Energy Group,Wind Onshore,6,2.50,"approximately 450m west south-west of junction of Cullion Road and Drumard Road, Draperstown, Magherafelt.",Co. Derry / Londonderry,-6.771874068671178,54.739481416960174
S12000008,East Ayrshire,Hare Hill Extension,Scottish Power Renewables,Wind Onshore,35,0.85,"New Cumnock, East Ayreshire",Strathclyde,-4.1262827352067415,55.362804380213554
E06000023,"Bristol, City of",Avonmouth Port - extension,Bristol Port Company,Wind Onshore,3,3.00,"St Andrews House, St Andrew's Rd, Avonmouth, Bristol, Avon",Avon,-2.698799124878711,51.50290906761381
E06000057,Northumberland,Barmoor South Wind Farm (Resubmission),EDF,Wind Onshore,6,2.30,Between Ford And Lowick Bowsden Berwick-upon-Tweed Northumberland,Northumberland,-2.0250875614900576,55.637292775356656
E07000151,Daventry,Winwick,Blue Energy,Wind Onshore,6,2.30,"Land To North and West Of Winwick Warren, Cold Ashby Road, Winwick, Northampton, Northamptonshire, NN6",Northamptonshire,-1.0622384361331942,52.36574737223073
E06000057,Northumberland,Sisters,Infinis (formerly Novera Energy),Wind Onshore,4,2.05,"west of Widdrington, approximately 8km north of Ashington, Northumberland",Northumberland,-1.6182471056051477,55.249873669188744
E07000046,Torridge,East Youlstone Wind Farm,Airvolution Energy,Wind Onshore,2,2.00,"East Youlstone, Devon",Devon,-4.446500145065293,50.917268922241554
S12000034,Aberdeenshire,Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm,SAC Environment And Design,Wind Onshore,3,2.30,"Auchnagatt, Ellon, AB41 8YD",Grampian,-2.1647438373760597,57.45345014857723
E07000121,Lancaster,Heysham South Wind Farm,Banks Renewables,Wind Onshore,3,2.50,"Lancaster Morecambe Bypass, Heaton With Oxcliffe, Lancashire",Lancashire,-2.8649822285266526,54.034244250037325
E07000011,Huntingdonshire,Woolley Hill Wind Farm,Aviva,Wind Onshore,4,2.30,"North of the A14, between the villages of Ellington & Woolley",Cambridgeshire,-0.30795871507438655,52.339849772097246
E07000031,South Lakeland,Furness Wind Farm/High Winds (Harlock Repowering),Baywind Co-op & Energy4All & Belltown Power,Wind Onshore,5,2.30,"Standish Cote & Mean Moor, Pennington, Marton & Harlock Hill, Ulverston, Cumbria",Cumbria,-3.147584582171789,54.20914056856628
S12000029,South Lanarkshire,Clyde Wind Farm Extension (Clyde 2),Scottish and Southern Energy (SSE)/ GIB,Wind Onshore,54,3.20,"Upper Clyde Valley, surrounding Camps Reservoir",Strathclyde,-3.5479016704498125,55.504142678672565
S12000026,Scottish Borders,Quixwood Moor,NTR PLC,Wind Onshore,13,2.30,Scottish Borders,Borders,-2.352658973534885,55.86739955243378
S12000035,Argyll and Bute,Auchadaduie Wind Farm,Fyne Futures,Wind Onshore,3,2.30,Land South Of Auchadaduie Barr Glen Glenbarr Kintyre,Strathclyde,-5.660193940286262,55.54465916651165
W06000012,Neath Port Talbot,Mynydd Brombil Wind Farm,REG Windpower,Wind Onshore,4,2.00,"Brombil, Port Talbot",Neath Port Talbot,-3.745739177960183,51.58297996521331
W06000016,Rhondda Cynon Taf,Mynydd Portref Wind Farm extension,REG Windpower,Wind Onshore,6,2.00,NA,Mid Glamorgan,-3.449605906382894,51.560369010212995
W06000012,Neath Port Talbot,Longlands Lane,Renewable Energy Systems Ltd (RES),Wind Onshore,1,1.50,"Longlands Lane, Margam, 
nr junction 38 of the M4.",Gwent,-3.747885447117991,51.56330882805777
E07000035,Derbyshire Dales,Ryder Point Quarry Wind Turbines,Longcliffe Quarries,Wind Onshore,2,2.50,Ryder Point Quarry North Of Manystones Lane Brassington Derbyshire,Derbyshire,-1.6213573945496824,53.09160807708865
E07000153,Kettering,Burton Wold Wind Farm - Northern Extension (resubmission),John Laing Environmental,Wind Onshore,9,1.60,"Burton Wold Wind Farm, Wold Road, Burton Latimer",Northamptonshire,-0.6518396951248406,52.36155413098192
S12000040,West Lothian,Pearie Law Wind Farm,EDF Energy Renewables,Wind Onshore,6,3.20,"Pearie Law, West Calder, West Lothian, EH55",Lothian,-3.562406168139458,55.82052192243836
S12000010,East Lothian,Crystal Rig Wind Farm Phase III,Fred Olsen Renewables,Wind Onshore,6,2.30,"Crystal Rigg Wind Farm, Cranshaws Duns, Scottish Borders",Borders,-2.5344795720287863,55.92641320760342
S12000014,Falkirk,Drumduff,Green Breeze Energy Ltd,Wind Onshore,3,2.83,"DRUMDUFF, BLACKRIDGE",Lothian,-3.7789740208690237,55.90429000388386
S12000005,Clackmannanshire,Rhodders Wind Farm,EDF/Wind Prospect,Wind Onshore,6,2.00,Site West Of Burnfoot Hill Tillicoultry Clackmannanshire,Central,-3.782392759220373,56.20420999344682
S12000040,West Lothian,Harburnhead Wind Farm,Gresham House,Wind Onshore,22,3.00,"West Calder, West Lothian",Lothian,-3.532172158440581,55.80868120844344
E07000046,Torridge,Dunsland Cross Wind Farm,Temporis Capital,Wind Onshore,3,3.00,Land At Dunsland Cross South Of Brandis Corner Holsworthy Devon EX22 7YH,Devon,-4.259697100400843,50.80787504381708
E07000026,Allerdale,Potato Pot Wind Farm,Capital Dynamics,Wind Onshore,3,2.00,"Land at
Potato Pot
Branthwaite
Workington
Cumbria",Cumbria,-3.5030983171294774,54.60272489346211
S12000021,North Ayrshire,Millour Hill Community Windfarm (Extension) resubmission,Community Windpower,Wind Onshore,2,3.20,Site To North Of Baidland Hill Dalry Ayrshire,Strathclyde,-4.780905922952306,55.735820880501834
S12000029,South Lanarkshire,Blantyre Muir Wind Farm extension,West Coast Energy,Wind Onshore,3,2.50,Near Laigh Muirhouses Farm Muttonhole Road Hamilton ,Strathclyde,-4.0900005526852645,55.7416058670225
N09000006,Fermanagh and Omagh,Inishative,Gaelectric Developments/ CGN Europe Energy,Wind Onshore,6,2.30,"Inishative Road, Sixmilecross, Omagh (Slievebeg. Land between Ballygawley and Pomeroy, approximately 1.5km north of Altmore Forest, Townland of Inishative)",Co. Tyrone,-7.009606354398834,54.56689651050252
N09000001,Antrim and Newtownabbey,Corby Knowe,Gaelectric Developments/ CGN Europe Energy,Wind Onshore,3,1.60,"Tardee Mountain, 7km North East of Antrim and 4km South East of Kells",Co. Antrim,-6.177805478965279,54.790190979105766
S12000030,Stirling,Earlsburn North (Kingsburn) Wind Farm,Falck Renewables,Wind Onshore,9,2.50,"Earlsburn, Gargunnock Hills",Stirling,-4.123057793617597,56.08901018218869
E06000031,Peterborough,Wryde Croft,RES UK & Ireland,Wind Onshore,13,2.00,"Nutsgrove, South of Thorney.",Cambridgeshire,-0.03231935666003791,52.64219295116863
N09000004,Causeway Coast and Glens,Brockaghboy Wind Farm,Greencoat,Wind Onshore,15,2.50,"Land approximately 750m South East of Dowlin's Bridge, Drumbane Road, Garvagh, Coleraine, BT 51 5DR",Co. Derry / Londonderry,-6.765028111605066,54.98057104686766
E06000057,Northumberland,Wandylaw,Blue Energy,Wind Onshore,10,1.95,"The Ellingham Estate, 3.5km West of the Village of Ellingham",Northumberland,-1.764167198043692,55.5196131032455
S12000029,South Lanarkshire,Black Law Extension - 1a,Scottish Power Renewables,Wind Onshore,29,1.67,"Black Law, Climpy",Strathclyde,-3.762566605237585,55.76218898600727
N09000006,Fermanagh and Omagh,Crockbaravally Wind Farm,Golden Square Energy,Wind Onshore,3,2.50,"Whitebridge Road
Sixmilecross, Co. Tyrone
BT79 9EH",Co. Tyrone,-7.047741831644745,54.55297102200239
E07000137,East Lindsey,Bishopthorpe,Greencoat UK (formerly BayWa r.e.),Wind Onshore,8,2.00,"Bishopthorpe Farm, Bishopthorpe, Tetney, Grimsby, Humberside",Lincolnshire,-7.32414684495848e-4,53.50991922744866
E06000013,North Lincolnshire,Keadby Wind Farm,Scottish and Southern Energy (SSE),Wind Onshore,34,2.00,"Near Teadby
Near Scunthorpe
Lincolnshire",Humberside,-0.7636853473640814,53.611796073795134
S12000020,Moray,Berry Burn,Statkraft,Wind Onshore,29,2.30,"Adjacent to Paul's Hill Site
Altyre Estate
BallindalF",Grampian,-3.4753925367012335,57.446611039103125
S12000008,East Ayrshire,Afton Wind Farm,InfraRed Capital Partners/ E.on,Wind Onshore,25,2.75,To the south west of New Cumnock adjacent to Afton reservoir,Strathclyde,-4.174283023645998,55.311600203182664
S12000040,West Lothian,Tormywheel,BlackRock (formerly Muirhall Energy),Wind Onshore,15,2.60,Fauldhouse,Lothian,-3.6721085977743395,55.80480876412629
N09000005,Derry City and Strabane,Eglish Mountain,ESB (Northern Wind Power),Wind Onshore,6,2.30,"Eglish Mountain in the townlands of Ballyartan and Glenlough (Co. Derry) and Ballyneaner (Co. Tyrone), accessing onto Ballyartan Road, Killaloo, Londonderry BT47 3TA",Co. Tyrone,-7.21361438196342,54.88379523322203
E07000047,West Devon,Den Brook,Aviva,Wind Onshore,9,2.00,"Den Brook,
West Devon",Devon,-3.8666068974669785,50.78012386733144
S12000028,South Ayrshire,Dersalloch,Scottish Power Renewables,Wind Onshore,23,3.00,Dersalloch Hill,Strathclyde,-4.488218014146303,55.304257206006596
S12000013,Na h-Eileanan Siar,Point Wind / Beinn Ghrideag Farm,Point Power & Energy Ltd / SgurrEnergy,Wind Onshore,3,3.00,Point Wind Farm Pentland Road To Achmore Achmore Isle Of Lewis,Western Isles,-6.480676648175114,58.2079463185788
S12000029,South Lanarkshire,Muirhall South,Muirhall Energy,Wind Onshore,3,3.20,"Stellashaw Moss, South Lanarkshire",Strathclyde,-3.6055463373782457,55.75839221088796
E06000056,Central Bedfordshire,Double Arches Quarry Wind Turbine,Arnold White Estates (AWE Renewables),Wind Onshore,1,1.50,Double Arches Quarry Eastern Way Heath And Reach Leighton Buzzard LU7 9LF,Bedfordshire,-0.6343280743483917,51.951908184017576
S12000017,Highland,Lochend  Wind Farm,Wind Harvest,Wind Onshore,4,2.30,Land 978M SE Of 2 Lochend Holding Barrock,Highland,-3.2629437496728095,58.59506855749356
S12000020,Moray,KELLAS WIND FARM,Renewable Energy Ventures,Wind Onshore,8,2.30,Kellas House Kellas Elgin Moray IV30 8TS,Grampian,-3.395994700100197,57.567725275947765
E07000028,Carlisle,Hallburn Farm (resubmission),REG Windpower/ Blackrock,Wind Onshore,6,2.20,"Land at Hallburn Farm, Hallburn, Longtown, Carlisle, Cumbria",Cumbria,-2.9153424823086023,55.00957125390144
N09000006,Fermanagh and Omagh,Crockdun,ESB (Northern Wind Power),Wind Onshore,5,2.50,"214 Loughmacrory Road, Crockdun, Sixmilecross, Omagh, Co. Tyrone.",Co. Tyrone,-7.049404026696226,54.568891458883876
E07000117,Burnley,Coal Clough Wind Farm Repowering,Coal Clough Wind Farm,Wind Onshore,8,2.00,"Coal Clough Wind Farm,The Long Causeway, Burnley ",Lancashire,-2.1499836851736576,53.74966190553861
N09000009,Mid Ulster,Shantavny Scotch,Tyrone Wind Energy Ltd,Wind Onshore,7,2.00,"Omagh Road, Ballygawley Co. Tyrone ",Co. Tyrone,-7.0899664361830155,54.47661782741986
E07000065,Wealden,Shepham Lane (Resubmission),Foresight,Wind Onshore,3,2.50,"Land off Shepham Lane, North of A27, Polegate",East Sussex,0.27088400468185664,50.82947835937173
E06000011,East Riding of Yorkshire,Sober Hill Wind Farm (Resubmission),West Coast Energy,Wind Onshore,6,2.50,Land North Of Sober Hill Farm Stoneknowle Hill North Newbald East Riding Of Yorkshire,Humberside,-0.5967407797321753,53.83494675472412
S12000035,Argyll and Bute,Srondoire Community Wind Farm,Srondoire Wind Farmers LLP,Wind Onshore,3,2.00,"Cruach A Phubuill, Adj Allt Dearg Windfarm, Ardrishaig, Lochgilphead, Argyll, PA31 8PE",Strathclyde,-5.480522230655258,55.93410080435091
S12000017,Highland,Achlachan Wind Farm,Whirlwind Renewables,Wind Onshore,5,2.00,Achlachan Windfarm Watten,Highland,-3.4545928789815377,58.448920616619496
S12000035,Argyll and Bute,A'Chruach (Phase 1),Infinis (formerly Novera Energy),Wind Onshore,21,2.30,"Land At A'Cruach
Kilmichael Forest
West Of Minard
Argyll",Strathclyde,-5.310216220757207,56.15276760743534
S12000010,East Lothian,"Aikengall II, Wester Dod Community Wind Farm",Community Windpower,Wind Onshore,19,3.20,East Lothian.,Lothian,-2.4900662877429833,55.91720874007263
E06000025,South Gloucestershire,Alveston Wind Park,Ecotricity,Wind Onshore,3,2.30,"Land off Old Gloucester Road, Nr Alveston, South Gloucestershire",Avon,-2.4999178699683826,51.572296962192276
S12000029,South Lanarkshire,Auchrobert Wind Farm,Falck Renewables,Wind Onshore,12,2.50,South Lanarkshire ML11 0HP,Strathclyde,-3.9842108336364013,55.62400279516679
E07000010,Fenland,Boardinghouse Wind Farm,Ecogen,Wind Onshore,5,2.05,Knights End Road March Cambridgeshire,Cambridgeshire,0.06060181534932574,52.53507310705116
S12000034,Aberdeenshire,Bogenlea Farm,Eco2,Wind Onshore,1,2.30,"New Byth, Turriff. AB53 5UY",Grampian,-2.2999493815599794,57.566263967146476
S12000034,Aberdeenshire,BROWNIELEYS - 3 WIND TURBINES,Brownieleys Renewables/Muirden Energy,Wind Onshore,3,2.35,"Nw/O Brownieleys, Fordoun, Alford, Grampian, AB33 1JN",Grampian,-2.379147432028341,56.83990929854702
S12000034,Aberdeenshire,Cairnborrow - resubmission,Engie (GDF Suez),Wind Onshore,5,2.50,Land at Cairnborrow Huntly,Grampian,-2.8992395663543484,57.463869095452544
E08000005,Rochdale,Crook Hill (Revised Application - Calderdale MBC) 1 of 2,Infrared Capital Partners,Wind Onshore,4,3.40,"Crook Hill/Shore Moor, North Of Watergrove Reservoir, Rochdale",Greater Manchester,-2.111659107835319,53.66814584503995
S12000034,Aberdeenshire,Deuchries,Force 9 Energy / Catamount Energy/ Green Cat,Wind Onshore,3,2.30,"Deuchries Farm, Banff, Aberdeenshire",Grampian,-2.6157074267317464,57.59065651145496
N09000009,Mid Ulster,Draperstown (Brackagh) Wind Farm,Renewable Energy Generation (REG),Wind Onshore,3,2.00,"Creagh Concrete Products Ltd, Brackagh Quarry, 29 Disert Road, Draperstown, Magherafelt",Co. Derry / Londonderry,-6.708159349045961,54.81121594366215
S12000029,South Lanarkshire,Dungavel Hill,John Laing Environmental,Wind Onshore,13,2.30,"Dungavel, Strathaven, Strathclyde",Strathclyde,-4.097746651858426,55.60858690015631
S12000047,Fife,Earlseat,The Renewables Infrastructure Group (TRIG),Wind Onshore,8,2.30,Earlseat Farm Standing Stane Road Kirkcaldy Fife KY1 4TH,Fife,-3.081323473207487,56.17365682899306
S12000034,Aberdeenshire,Easter Tulloch Wind Farm (Tullo Extension),N R Gammie Partnership,Wind Onshore,10,2.50,"Land to North of
Tullo Farm
Laurencekirk",Grampian,-2.395697802501528,56.83639026900095
S12000008,East Ayrshire,Galawhistle,Ventient (formerly Infinis),Wind Onshore,22,3.00,7km east of Muirkirk in East Ayrshire and 4km west of Douglas in South Lanarkshire,Strathclyde,-3.9754222829032098,55.539574960742
E07000137,East Lindsey,Gayton Le Marsh Wind Farm,Energiekontor UK,Wind Onshore,8,2.05,"Carlton Grange, Thacker Bank, Great Carlton, Gayton Le Marsh, Louth, Lincolnshire (3.3km to the northeast of Great Carlton and 2.4km south of Saltfleetby)",Lincolnshire,0.16600012555012553,53.362637558360305
S12000021,North Ayrshire,GlaxoSmithKline Wind Project (Turbine 4),GlaxoSmithKline,Wind Onshore,1,2.50,Shewalton Road Riverside Business Park Irvine Ayrshire KA11 5AP,Strathclyde,-4.618188668702404,55.59286682236838
E06000011,East Riding of Yorkshire,Goole Fields,RWE npower,Wind Onshore,16,2.05,"Goole Fields Parish , East Riding of Yorkshire",Humberside,-0.8892829077083299,53.66592588656268
E07000010,Fenland,Greenvale AP Wind Turbine - resubmission,Greenvale AP,Wind Onshore,1,1.50,"Land North West Of Greenvale Produce Ltd
Floods Ferry Road
Doddington
Cambridgeshire",Cambridgeshire,-0.004589616208385059,52.5206712769036
S12000020,Moray,Hill of Glaschyle Wind Farm,Muirden Energy,Wind Onshore,12,2.30,Hill Of Glaschyle Logie Forres Moray,Grampian,-3.6155871219893534,57.510520239425695
S12000006,Dumfries and Galloway,Kilgallioch wind farm,Scottish Power Renewables,Wind Onshore,96,2.50,"(Arecloch Phase 2) land five kilometres to the south of Barrhill, five kilometres to the northeast of New Luce and 11km to the northwest of Kirkcowan",Dumfries and Galloway,-4.801715850585831,54.988452764199266
E06000004,Stockton-on-Tees,Lambs Hill,Banks Renewables,Wind Onshore,4,2.00,"Stillington Industrial Estate, Stockton, village of Stillington, to the north west of Stockton and around three miles east of the A1(M",County Durham,-1.326260570689478,54.546207772942786
S12000017,Highland,Lochluichart (Extension),Infinergy,Wind Onshore,6,3.00,"Btwn Loch Luichart and Loch Glascarnoch, Lochluichart, Garve, Highlands, IV23.",Highland,-4.841364086781099,57.68011344128025
E07000155,South Northamptonshire,M1 Wind Farm,Wind Prospect Developments,Wind Onshore,9,0.80,Land between Roade Courteenhall Hartwell and the M1,Northamptonshire,-0.8616551278708324,52.1617213739531
E07000113,Swale,New Rides Wind Farm,Airvolution Energy,Wind Onshore,4,2.00,"New Rides Farm, Leysdown Road, Sheerness",Kent,0.8632499829970436,51.39604095063679
S12000047,Fife,Noble Foods,Wind Direct,Wind Onshore,1,1.50,"Poultry Buildings, Strathore Farm, Strathore Road, Thornton, Fife",Fife,-3.159265820849119,56.16407302424345
E08000033,Calderdale,Ovenden Moor (Repower) (Re-submission),Yorkshire Windpower,Wind Onshore,9,2.50,"Withens Road, Wainstalls, Halifax, West Yorks. HX2 7TZ",West Yorkshire,-1.9407921396935794,53.770827452118425
W06000013,Bridgend,Pant y wal extension,Pennant Walters (PYWX),Wind Onshore,8,2.50,"Mynydd Maesteg, Mynydd Pwlle yr Helog, Ogmore Vale, Rhondda Valley",Mid Glamorgan,-3.522043144275072,51.5872280442048
E08000016,Barnsley,Park Spring Wind Farm,EDF Energy Renewables,Wind Onshore,3,2.85,"Ferry Moor Lane, Cudworth, Barnsley",South Yorkshire,-1.4021086339338187,53.573973990651375
S12000034,Aberdeenshire,Brotherton (formerly Paul Matthew Hill wind turbines),Renewable Energy Ventures,Wind Onshore,2,2.30,"Paul Matthew Hill, Johnshaven, Montrose, Grampian, DD10 0HW",Grampian,-2.3718496641665467,56.814732409053526
W06000018,Caerphilly,Pen Bryn Oer Wind Farm,REG Windpower/ BlackRock,Wind Onshore,3,1.33,"Pen Bryn Oer, Merthyr Road, Rhymney",Mid Glamorgan,-3.275912674789127,51.774851948689175
E07000011,Huntingdonshire,Ramsey Wind Farm Extension,REG Windpower,Wind Onshore,4,2.00,"St Marys Road, Ramsey",Cambridgeshire,-0.12238948661576562,52.46813947041337
E06000001,Hartlepool,Red Gap Moor Wind Farm,Capital Dynamics,Wind Onshore,5,2.50,"Sunderland Road,Wolviston, Billingham, Cleveland",Cleveland,-1.3205700121904802,54.64676703661924
E07000125,Rossendale,Todmorden Moor  - Resubmission,Todmorden Moor Wind Farm Ltd,Wind Onshore,5,3.00,"Todmorden, Yorkshire",West Yorkshire,-2.159003068324616,53.7006292980753
